,pseado,tweet,lesreaction
13,Watt The Duck @sjowall69·21 août,"Julien Bayou fait parti de ceux qui ont fait fermer Fessenheim. Ça nous coûte 10 millions de tonnes de CO2 par an, soit l’équivalent de 1 million de vols en jet privé. Il ferait mieux de rentrer sous terre plutôt que de désigner des boucs émissaires.","52 réponses, 463 Retweets, 1484 J'aime"
14,Ministère Écologie Déserté  (parodie)@VilainCat·19h,"Inflation: le coût annuel de l'électricité en 2023 ne dépassera pas le prix d'un jet privé, tient à rassurer Bruno Le Maire.","2 réponses, 40 Retweets, 158 J'aime"
15,Le Parisien@le_Parisien·26 août," Utiliser un jet privé, prendre de l'essence, manger un steak... 

Et si demain, ces gestes consommateurs en CO2 correspondaient à un nombre de points débités de notre quota personnel de carbone à utiliser ?","909 réponses, 707 Retweets, 317 J'aime"
16,lepetitMélenchon@hafid144·1h,Certes il a pollué mais il s’amuse pas à utiliser son jet privé pour faire des aller-retour qui pollue encore plus.,2 réponses
17,Nils Wilcke@paul_denton·17h,"Clément Beaune s'écrase sur son projet de régulation des vols en jet privé: ""Il ne peut y avoir qu'une seule position, celle du président"", affirme platement le ministre des Transports sur BFM, rappelé à l'ordre par l'Elysée. C'est limpide...","78 réponses, 352 Retweets, 1065 J'aime"
18,Pierre-Yves McSween@PYMcsween·25 août,"Le jet privé, cette grande aberration. (Crédit : @MatthieuDugal )","66 réponses, 62 Retweets, 314 J'aime"
19, Patrick Vigie@DETLEFSENPatri1·21 août,Ceci est un jet privé ,"21 réponses, 138 Retweets, 429 J'aime"
20,Watt The Duck @sjowall69·21 août,"Julien Bayou fait parti de ceux qui ont fait fermer Fessenheim. Ça nous coûte 10 millions de tonnes de CO2 par an, soit l’équivalent de 1 million de vols en jet privé. Il ferait mieux de rentrer sous terre plutôt que de désigner des boucs émissaires.","52 réponses, 463 Retweets, 1484 J'aime"
21,Renaud Tarlet @RenaudTarlet·23 août,"Lors d'un rodéo climatique avec un jet privé, il faut confisquer le véhicule. On ne peut pas laisser une minorité emmerder tout le monde.","7 réponses, 225 Retweets, 623 J'aime"
22,BFMTV@BFMTV·21h,"Régulation des vols en jet privé: ""Il ne peut y avoir qu'une seule position, celle du président"", affirme Clément Beaune","438 réponses, 284 Retweets, 151 J'aime"
23,Gintoki Sama@Sht_dono·23 août,"Qu’ils se soient tous mis d’accord pour comparer à la déportation le fait de ne pas aller chercher une baguette en jet privé… ça en dit long, déjà sur le peu de respect de la dignité humaine et le fait que les ultras riches et leurs laquais ne reculeront devant aucune obscénité.","2 réponses, 197 Retweets, 867 J'aime"
24,Moi-Même@IJustNeedCoffee·20 août,"Ça me fait marrer cette histoire de jet privé. Vous verrez que même si demain des jets 0 émission de CO2 sortaient, les écolos trouveront autre chose pour les interdire. Ils s’en foutent de l’écologie, c’est juste un prétexte pour leur combat anticapitaliste.","11 réponses, 24 Retweets, 159 J'aime"
25,𝒚𝒍𝒊𝒆𝒏@DigitalGanon·22 août,"Oh j'suis vanné ""Si les gens se tournent vers le jet privé c'est que c'est nécessaire, ils ont pas d'autre solution"" faut vraiment pas avoir froid au yeux pour sortir un truc aussi énorme et se dire qu'on va accepter ça bien tranquillement.","21 réponses, 73 Retweets, 936 J'aime"
26,François Asselineau@UPR_Asselineau·22 août," RÊVEUR
Bayou veut interdire les jets privés, tout en restant dans l' et soumis aux.
Il semble ne pas voir que bannir les avions privés du ciel soulèverait un Non immédiat des oligarques, dont les dirigeants européistes sont les marionnettes.","80 réponses, 453 Retweets, 1337 J'aime"
27,Alexis@Alexis_Gui63·25 août,C'est fini l'abondance les gosses faut travailler pour faire voler le jet privé de Bernard,"136 Retweets, 911 J'aime"
28,Le Parisien@le_Parisien·26 août," Utiliser un jet privé, prendre de l'essence, manger un steak... 

Et si demain, ces gestes consommateurs en CO2 correspondaient à un nombre de points débités de notre quota personnel de carbone à utiliser ?","909 réponses, 707 Retweets, 317 J'aime"
29,lepetitMélenchon@hafid144·1h,Certes il a pollué mais il s’amuse pas à utiliser son jet privé pour faire des aller-retour qui pollue encore plus.,2 réponses
30,Nils Wilcke@paul_denton·17h,"Clément Beaune s'écrase sur son projet de régulation des vols en jet privé: ""Il ne peut y avoir qu'une seule position, celle du président"", affirme platement le ministre des Transports sur BFM, rappelé à l'ordre par l'Elysée. C'est limpide...","78 réponses, 352 Retweets, 1065 J'aime"
31,Pierre-Yves McSween@PYMcsween·25 août,"Le jet privé, cette grande aberration. (Crédit : @MatthieuDugal )","66 réponses, 62 Retweets, 314 J'aime"
32, Patrick Vigie@DETLEFSENPatri1·21 août,Ceci est un jet privé ,"21 réponses, 138 Retweets, 429 J'aime"
33,Michel Deléan@michel_delean·58 min,Le leader français du jet privé brûle la planète en toute impunité via @Mediapart,"8 Retweets, 5 J'aime"
34,Iva Masson@IvaMasson·22 août,"1h de jet privé va émettre autant de #carbone qu'un Français dans sa voiture pendant 1 an. En France 1 avion sur 10 qui décolle est un jet privé et près de 40% de ces vols se feraient à vide.
Bernard Arnault #InterdictionJetsPrives ","16 réponses, 61 Retweets, 111 J'aime"
35,Renaud Tarlet @RenaudTarlet·23 août,"Lors d'un rodéo climatique avec un jet privé, il faut confisquer le véhicule. On ne peut pas laisser une minorité emmerder tout le monde.","7 réponses, 225 Retweets, 623 J'aime"
36,BFMTV@BFMTV·21h,"Régulation des vols en jet privé: ""Il ne peut y avoir qu'une seule position, celle du président"", affirme Clément Beaune","438 réponses, 284 Retweets, 151 J'aime"
37,Gintoki Sama@Sht_dono·23 août,"Qu’ils se soient tous mis d’accord pour comparer à la déportation le fait de ne pas aller chercher une baguette en jet privé… ça en dit long, déjà sur le peu de respect de la dignité humaine et le fait que les ultras riches et leurs laquais ne reculeront devant aucune obscénité.","2 réponses, 197 Retweets, 867 J'aime"
38,Moi-Même@IJustNeedCoffee·20 août,"Ça me fait marrer cette histoire de jet privé. Vous verrez que même si demain des jets 0 émission de CO2 sortaient, les écolos trouveront autre chose pour les interdire. Ils s’en foutent de l’écologie, c’est juste un prétexte pour leur combat anticapitaliste.","11 réponses, 24 Retweets, 159 J'aime"
39,𝒚𝒍𝒊𝒆𝒏@DigitalGanon·22 août,"Oh j'suis vanné ""Si les gens se tournent vers le jet privé c'est que c'est nécessaire, ils ont pas d'autre solution"" faut vraiment pas avoir froid au yeux pour sortir un truc aussi énorme et se dire qu'on va accepter ça bien tranquillement.","21 réponses, 73 Retweets, 936 J'aime"
40,François Asselineau@UPR_Asselineau·22 août," RÊVEUR
Bayou veut interdire les jets privés, tout en restant dans l' et soumis aux.
Il semble ne pas voir que bannir les avions privés du ciel soulèverait un Non immédiat des oligarques, dont les dirigeants européistes sont les marionnettes.","80 réponses, 453 Retweets, 1337 J'aime"
41,Alexis@Alexis_Gui63·25 août,C'est fini l'abondance les gosses faut travailler pour faire voler le jet privé de Bernard,"136 Retweets, 911 J'aime"
42,Bon Pote@BonPote·20 août,"Puisque que ça discute jet privé, voici une comparaison de l'empreinte carbone d'un vol entre  Londres et New-York. 
La différence entre un vol en class éco et en jet privé est juste immense. 
Source : realworldvisuals","34 réponses, 393 Retweets, 894 J'aime"
43,Tired Earth France@TiredEarth_FR·22 août,Le gouvernement et les écologistes s’accordent sur le besoin de « réguler » les vols en #JetPrivé | #TiredEarth #climat #réchauffement #CO2,"2 réponses, 10 Retweets, 12 J'aime"
44,Selmackerman - Albert Heijn stan account@selmlls·24 août,"Je suis tout à fait en faveur du name shaming des célébrités qui utilisent leur jet privé à outrance en émettant des quantités industrielles de CO2, et qui explosent des records de consommation d’eau alors qu’on est en pleine sécheresse. Moi je mange du pop-corn.","3 réponses, 36 Retweets, 252 J'aime"
45,Michel Deléan@michel_delean·58 min,Le leader français du jet privé brûle la planète en toute impunité via @Mediapart,"8 Retweets, 5 J'aime"
46,Iva Masson@IvaMasson·22 août,"1h de jet privé va émettre autant de #carbone qu'un Français dans sa voiture pendant 1 an. En France 1 avion sur 10 qui décolle est un jet privé et près de 40% de ces vols se feraient à vide.
Bernard Arnault #InterdictionJetsPrives ","16 réponses, 61 Retweets, 111 J'aime"
47,Papou@MichelF29015597·5h,"Pour être cohérent, la NUPES cloue au sol son jet privé !","3 réponses, 9 Retweets, 33 J'aime"
48,Vegan Pussy™ @hypnofaz·21 min,Bernard Arnault avec son jet privé consomme en une journée l'équivalent d'une vie entière mais c'est toujours sur les prolo qui partent en vacances 1 fois par an que vous tapez faudrait aller toucher de l'herbe à un moment,"2 Retweets, 7 J'aime"
49,H - LIBERTY  @HL_iberty·22 août,"Interdire en France les jets privés n'empêchera pas le jet privé d'exister.
Cela empêchera juste la France d'en fabriquer et d'en vendre.

Les écologistes sont nos ennemis de l'intérieur, ils creusent notre tombe à toute vitesse","1 réponse, 14 Retweets, 42 J'aime"
50,Christian B@petimiti·58 min,"Le leader français du jet privé VallJet n’a pas compensé financièrement ses énormes émissions de gaz à effet de serre. Bénéficiaire d’importantes aides publiques, elle se préparerait de plus à contourner la future réforme européenne sur le carbone.","13 Retweets, 7 J'aime"
51,proust hate account @Shamyeow·19h,Après la grand-mère qui fait son plein chez Total elle part pas en jet privé pour faire Paris-Nice donc la question de la responsabilité me semble un peu plus compliquée que ça m'enfin,"1 réponse, 16 Retweets, 87 J'aime"
52,la meuf là@niemesia·26 août,"Plus de golf, plus de jet privé, ils veulent simplement tuer nos vacances je pense","43 réponses, 50 Retweets, 1576 J'aime"
53,Jean Massiet #ZEVENT2022@JeanMassiet·20 août,Vous aussi vous mettez vos allocations de rentrée scolaire de côté pour économiser et vous acheter un jet privé ?,"120 réponses, 293 Retweets, 4042 J'aime"
54,marco@MARCLANDES40·48 min,Oh la vache @julienbayou !! Un Jet Privé venant d’Oslo a osé passer au dessus de chez moi!! Pour atterrir en Espagne!! Il a de la chance que j’avais pas ma sarbacane sous la main !!,"1 Retweet, 4 J'aime"
55,WE JUST NUKED A BUILDING@dondastic·24 août,je vais bien me faire chier pour rien pdt qu’Elon Musk prend son jet privé pour 12 minutes de vol,"1 réponse, 4 Retweets, 10 J'aime"
56,Alexis@Alexis_Gui63·25 août,C'est fini l'abondance les gosses faut travailler pour faire voler le jet privé de Bernard,"136 Retweets, 911 J'aime"
57,Bon Pote@BonPote·20 août,"Puisque que ça discute jet privé, voici une comparaison de l'empreinte carbone d'un vol entre  Londres et New-York. 
La différence entre un vol en class éco et en jet privé est juste immense. 
Source : realworldvisuals","34 réponses, 393 Retweets, 894 J'aime"
58,Tired Earth France@TiredEarth_FR·22 août,Le gouvernement et les écologistes s’accordent sur le besoin de « réguler » les vols en #JetPrivé | #TiredEarth #climat #réchauffement #CO2,"2 réponses, 10 Retweets, 12 J'aime"
59,Selmackerman - Albert Heijn stan account@selmlls·24 août,"Je suis tout à fait en faveur du name shaming des célébrités qui utilisent leur jet privé à outrance en émettant des quantités industrielles de CO2, et qui explosent des records de consommation d’eau alors qu’on est en pleine sécheresse. Moi je mange du pop-corn.","3 réponses, 36 Retweets, 252 J'aime"
60,Michel Deléan@michel_delean·58 min,Le leader français du jet privé brûle la planète en toute impunité via @Mediapart,"8 Retweets, 5 J'aime"
61,Iva Masson@IvaMasson·22 août,"1h de jet privé va émettre autant de #carbone qu'un Français dans sa voiture pendant 1 an. En France 1 avion sur 10 qui décolle est un jet privé et près de 40% de ces vols se feraient à vide.
Bernard Arnault #InterdictionJetsPrives ","16 réponses, 61 Retweets, 111 J'aime"
62,Papou@MichelF29015597·5h,"Pour être cohérent, la NUPES cloue au sol son jet privé !","3 réponses, 9 Retweets, 33 J'aime"
63,Vegan Pussy™ @hypnofaz·21 min,Bernard Arnault avec son jet privé consomme en une journée l'équivalent d'une vie entière mais c'est toujours sur les prolo qui partent en vacances 1 fois par an que vous tapez faudrait aller toucher de l'herbe à un moment,"2 Retweets, 7 J'aime"
64,H - LIBERTY  @HL_iberty·22 août,"Interdire en France les jets privés n'empêchera pas le jet privé d'exister.
Cela empêchera juste la France d'en fabriquer et d'en vendre.

Les écologistes sont nos ennemis de l'intérieur, ils creusent notre tombe à toute vitesse","1 réponse, 14 Retweets, 42 J'aime"
65,Christian B@petimiti·58 min,"Le leader français du jet privé VallJet n’a pas compensé financièrement ses énormes émissions de gaz à effet de serre. Bénéficiaire d’importantes aides publiques, elle se préparerait de plus à contourner la future réforme européenne sur le carbone.","13 Retweets, 7 J'aime"
66,proust hate account @Shamyeow·19h,Après la grand-mère qui fait son plein chez Total elle part pas en jet privé pour faire Paris-Nice donc la question de la responsabilité me semble un peu plus compliquée que ça m'enfin,"1 réponse, 16 Retweets, 87 J'aime"
67,la meuf là@niemesia·26 août,"Plus de golf, plus de jet privé, ils veulent simplement tuer nos vacances je pense","43 réponses, 50 Retweets, 1576 J'aime"
68,Jean Massiet #ZEVENT2022@JeanMassiet·20 août,Vous aussi vous mettez vos allocations de rentrée scolaire de côté pour économiser et vous acheter un jet privé ?,"120 réponses, 293 Retweets, 4042 J'aime"
69,marco@MARCLANDES40·48 min,Oh la vache @julienbayou !! Un Jet Privé venant d’Oslo a osé passer au dessus de chez moi!! Pour atterrir en Espagne!! Il a de la chance que j’avais pas ma sarbacane sous la main !!,"1 Retweet, 4 J'aime"
70,WE JUST NUKED A BUILDING@dondastic·24 août,je vais bien me faire chier pour rien pdt qu’Elon Musk prend son jet privé pour 12 minutes de vol,"1 réponse, 4 Retweets, 10 J'aime"
71,Alexis@Alexis_Gui63·25 août,C'est fini l'abondance les gosses faut travailler pour faire voler le jet privé de Bernard,"136 Retweets, 911 J'aime"
72,Bon Pote@BonPote·20 août,"Puisque que ça discute jet privé, voici une comparaison de l'empreinte carbone d'un vol entre  Londres et New-York. 
La différence entre un vol en class éco et en jet privé est juste immense. 
Source : realworldvisuals","34 réponses, 393 Retweets, 894 J'aime"
73,Tired Earth France@TiredEarth_FR·22 août,Le gouvernement et les écologistes s’accordent sur le besoin de « réguler » les vols en #JetPrivé | #TiredEarth #climat #réchauffement #CO2,"2 réponses, 10 Retweets, 12 J'aime"
74,Selmackerman - Albert Heijn stan account@selmlls·24 août,"Je suis tout à fait en faveur du name shaming des célébrités qui utilisent leur jet privé à outrance en émettant des quantités industrielles de CO2, et qui explosent des records de consommation d’eau alors qu’on est en pleine sécheresse. Moi je mange du pop-corn.","3 réponses, 36 Retweets, 252 J'aime"
75,Michel Deléan@michel_delean·58 min,Le leader français du jet privé brûle la planète en toute impunité via @Mediapart,"8 Retweets, 5 J'aime"
76,Iva Masson@IvaMasson·22 août,"1h de jet privé va émettre autant de #carbone qu'un Français dans sa voiture pendant 1 an. En France 1 avion sur 10 qui décolle est un jet privé et près de 40% de ces vols se feraient à vide.
Bernard Arnault #InterdictionJetsPrives ","16 réponses, 61 Retweets, 111 J'aime"
77,Papou@MichelF29015597·5h,"Pour être cohérent, la NUPES cloue au sol son jet privé !","3 réponses, 9 Retweets, 33 J'aime"
78,Vegan Pussy™ @hypnofaz·21 min,Bernard Arnault avec son jet privé consomme en une journée l'équivalent d'une vie entière mais c'est toujours sur les prolo qui partent en vacances 1 fois par an que vous tapez faudrait aller toucher de l'herbe à un moment,"2 Retweets, 7 J'aime"
79,H - LIBERTY  @HL_iberty·22 août,"Interdire en France les jets privés n'empêchera pas le jet privé d'exister.
Cela empêchera juste la France d'en fabriquer et d'en vendre.

Les écologistes sont nos ennemis de l'intérieur, ils creusent notre tombe à toute vitesse","1 réponse, 14 Retweets, 42 J'aime"
80,Christian B@petimiti·58 min,"Le leader français du jet privé VallJet n’a pas compensé financièrement ses énormes émissions de gaz à effet de serre. Bénéficiaire d’importantes aides publiques, elle se préparerait de plus à contourner la future réforme européenne sur le carbone.","13 Retweets, 7 J'aime"
81,proust hate account @Shamyeow·19h,Après la grand-mère qui fait son plein chez Total elle part pas en jet privé pour faire Paris-Nice donc la question de la responsabilité me semble un peu plus compliquée que ça m'enfin,"1 réponse, 16 Retweets, 87 J'aime"
82,la meuf là@niemesia·26 août,"Plus de golf, plus de jet privé, ils veulent simplement tuer nos vacances je pense","43 réponses, 50 Retweets, 1576 J'aime"
83,Jean Massiet #ZEVENT2022@JeanMassiet·20 août,Vous aussi vous mettez vos allocations de rentrée scolaire de côté pour économiser et vous acheter un jet privé ?,"120 réponses, 293 Retweets, 4042 J'aime"
84,marco@MARCLANDES40·48 min,Oh la vache @julienbayou !! Un Jet Privé venant d’Oslo a osé passer au dessus de chez moi!! Pour atterrir en Espagne!! Il a de la chance que j’avais pas ma sarbacane sous la main !!,"1 Retweet, 4 J'aime"
85,WE JUST NUKED A BUILDING@dondastic·24 août,je vais bien me faire chier pour rien pdt qu’Elon Musk prend son jet privé pour 12 minutes de vol,"1 réponse, 4 Retweets, 10 J'aime"
86,Vegan Pussy™ @hypnofaz·21 min,Bernard Arnault avec son jet privé consomme en une journée l'équivalent d'une vie entière mais c'est toujours sur les prolo qui partent en vacances 1 fois par an que vous tapez faudrait aller toucher de l'herbe à un moment,"2 Retweets, 7 J'aime"
87,H - LIBERTY  @HL_iberty·22 août,"Interdire en France les jets privés n'empêchera pas le jet privé d'exister.
Cela empêchera juste la France d'en fabriquer et d'en vendre.

Les écologistes sont nos ennemis de l'intérieur, ils creusent notre tombe à toute vitesse","1 réponse, 14 Retweets, 42 J'aime"
88,Christian B@petimiti·58 min,"Le leader français du jet privé VallJet n’a pas compensé financièrement ses énormes émissions de gaz à effet de serre. Bénéficiaire d’importantes aides publiques, elle se préparerait de plus à contourner la future réforme européenne sur le carbone.","13 Retweets, 7 J'aime"
89,proust hate account @Shamyeow·19h,Après la grand-mère qui fait son plein chez Total elle part pas en jet privé pour faire Paris-Nice donc la question de la responsabilité me semble un peu plus compliquée que ça m'enfin,"1 réponse, 16 Retweets, 87 J'aime"
90,la meuf là@niemesia·26 août,"Plus de golf, plus de jet privé, ils veulent simplement tuer nos vacances je pense","43 réponses, 50 Retweets, 1576 J'aime"
91,Jean Massiet #ZEVENT2022@JeanMassiet·20 août,Vous aussi vous mettez vos allocations de rentrée scolaire de côté pour économiser et vous acheter un jet privé ?,"120 réponses, 293 Retweets, 4042 J'aime"
92,marco@MARCLANDES40·48 min,Oh la vache @julienbayou !! Un Jet Privé venant d’Oslo a osé passer au dessus de chez moi!! Pour atterrir en Espagne!! Il a de la chance que j’avais pas ma sarbacane sous la main !!,"1 Retweet, 4 J'aime"
93,WE JUST NUKED A BUILDING@dondastic·24 août,je vais bien me faire chier pour rien pdt qu’Elon Musk prend son jet privé pour 12 minutes de vol,"1 réponse, 4 Retweets, 10 J'aime"
94,Vegan Pussy™ @hypnofaz·21 min,Bernard Arnault avec son jet privé consomme en une journée l'équivalent d'une vie entière mais c'est toujours sur les prolo qui partent en vacances 1 fois par an que vous tapez faudrait aller toucher de l'herbe à un moment,"2 Retweets, 7 J'aime"
95,H - LIBERTY  @HL_iberty·22 août,"Interdire en France les jets privés n'empêchera pas le jet privé d'exister.
Cela empêchera juste la France d'en fabriquer et d'en vendre.

Les écologistes sont nos ennemis de l'intérieur, ils creusent notre tombe à toute vitesse","1 réponse, 14 Retweets, 42 J'aime"
96,Christian B@petimiti·58 min,"Le leader français du jet privé VallJet n’a pas compensé financièrement ses énormes émissions de gaz à effet de serre. Bénéficiaire d’importantes aides publiques, elle se préparerait de plus à contourner la future réforme européenne sur le carbone.","13 Retweets, 7 J'aime"
97,proust hate account @Shamyeow·19h,Après la grand-mère qui fait son plein chez Total elle part pas en jet privé pour faire Paris-Nice donc la question de la responsabilité me semble un peu plus compliquée que ça m'enfin,"1 réponse, 16 Retweets, 87 J'aime"
98,la meuf là@niemesia·26 août,"Plus de golf, plus de jet privé, ils veulent simplement tuer nos vacances je pense","43 réponses, 50 Retweets, 1576 J'aime"
99,Jean Massiet #ZEVENT2022@JeanMassiet·20 août,Vous aussi vous mettez vos allocations de rentrée scolaire de côté pour économiser et vous acheter un jet privé ?,"120 réponses, 293 Retweets, 4042 J'aime"
100,marco@MARCLANDES40·48 min,Oh la vache @julienbayou !! Un Jet Privé venant d’Oslo a osé passer au dessus de chez moi!! Pour atterrir en Espagne!! Il a de la chance que j’avais pas ma sarbacane sous la main !!,"1 Retweet, 4 J'aime"
101,WE JUST NUKED A BUILDING@dondastic·24 août,je vais bien me faire chier pour rien pdt qu’Elon Musk prend son jet privé pour 12 minutes de vol,"1 réponse, 4 Retweets, 10 J'aime"
102,Vegan Pussy™ @hypnofaz·21 min,Bernard Arnault avec son jet privé consomme en une journée l'équivalent d'une vie entière mais c'est toujours sur les prolo qui partent en vacances 1 fois par an que vous tapez faudrait aller toucher de l'herbe à un moment,"2 Retweets, 7 J'aime"
103,H - LIBERTY  @HL_iberty·22 août,"Interdire en France les jets privés n'empêchera pas le jet privé d'exister.
Cela empêchera juste la France d'en fabriquer et d'en vendre.

Les écologistes sont nos ennemis de l'intérieur, ils creusent notre tombe à toute vitesse","1 réponse, 14 Retweets, 42 J'aime"
104,Christian B@petimiti·58 min,"Le leader français du jet privé VallJet n’a pas compensé financièrement ses énormes émissions de gaz à effet de serre. Bénéficiaire d’importantes aides publiques, elle se préparerait de plus à contourner la future réforme européenne sur le carbone.","13 Retweets, 7 J'aime"
105,proust hate account @Shamyeow·19h,Après la grand-mère qui fait son plein chez Total elle part pas en jet privé pour faire Paris-Nice donc la question de la responsabilité me semble un peu plus compliquée que ça m'enfin,"1 réponse, 16 Retweets, 87 J'aime"
106,la meuf là@niemesia·26 août,"Plus de golf, plus de jet privé, ils veulent simplement tuer nos vacances je pense","43 réponses, 50 Retweets, 1576 J'aime"
107,Jean Massiet #ZEVENT2022@JeanMassiet·20 août,Vous aussi vous mettez vos allocations de rentrée scolaire de côté pour économiser et vous acheter un jet privé ?,"120 réponses, 293 Retweets, 4042 J'aime"
108,marco@MARCLANDES40·48 min,Oh la vache @julienbayou !! Un Jet Privé venant d’Oslo a osé passer au dessus de chez moi!! Pour atterrir en Espagne!! Il a de la chance que j’avais pas ma sarbacane sous la main !!,"1 Retweet, 4 J'aime"
109,WE JUST NUKED A BUILDING@dondastic·24 août,je vais bien me faire chier pour rien pdt qu’Elon Musk prend son jet privé pour 12 minutes de vol,"1 réponse, 4 Retweets, 10 J'aime"
110,Vegan Pussy™ @hypnofaz·21 min,Bernard Arnault avec son jet privé consomme en une journée l'équivalent d'une vie entière mais c'est toujours sur les prolo qui partent en vacances 1 fois par an que vous tapez faudrait aller toucher de l'herbe à un moment,"2 Retweets, 7 J'aime"
111,H - LIBERTY  @HL_iberty·22 août,"Interdire en France les jets privés n'empêchera pas le jet privé d'exister.
Cela empêchera juste la France d'en fabriquer et d'en vendre.

Les écologistes sont nos ennemis de l'intérieur, ils creusent notre tombe à toute vitesse","1 réponse, 14 Retweets, 42 J'aime"
112,Christian B@petimiti·58 min,"Le leader français du jet privé VallJet n’a pas compensé financièrement ses énormes émissions de gaz à effet de serre. Bénéficiaire d’importantes aides publiques, elle se préparerait de plus à contourner la future réforme européenne sur le carbone.","13 Retweets, 7 J'aime"
113,proust hate account @Shamyeow·19h,Après la grand-mère qui fait son plein chez Total elle part pas en jet privé pour faire Paris-Nice donc la question de la responsabilité me semble un peu plus compliquée que ça m'enfin,"1 réponse, 16 Retweets, 87 J'aime"
114,la meuf là@niemesia·26 août,"Plus de golf, plus de jet privé, ils veulent simplement tuer nos vacances je pense","43 réponses, 50 Retweets, 1576 J'aime"
115,Jean Massiet #ZEVENT2022@JeanMassiet·20 août,Vous aussi vous mettez vos allocations de rentrée scolaire de côté pour économiser et vous acheter un jet privé ?,"120 réponses, 293 Retweets, 4042 J'aime"
116,marco@MARCLANDES40·48 min,Oh la vache @julienbayou !! Un Jet Privé venant d’Oslo a osé passer au dessus de chez moi!! Pour atterrir en Espagne!! Il a de la chance que j’avais pas ma sarbacane sous la main !!,"1 Retweet, 4 J'aime"
117,WE JUST NUKED A BUILDING@dondastic·24 août,je vais bien me faire chier pour rien pdt qu’Elon Musk prend son jet privé pour 12 minutes de vol,"1 réponse, 4 Retweets, 10 J'aime"
118,"Villageois radicalisé, humble domestique @Nestorburna·15 min",Bientôt elle va nous dire qu'il faut arrêter de faire chier les bourges avec leurs Jet privé parce-qu'ils ont travaillé dur pour se les offrir ,6 J'aime
